season,#,pick,name,pos,team,overall,std,high,low,n,gsis_id
2010,1,1.01,Chris Johnson,RB,TEN,1.4,0.7,1.01,1.06,461,00-0026164
2010,2,1.02,Adrian Peterson,RB,MIN,2.1,0.7,1.01,1.04,286,00-0025394
2010,3,1.03,Ray Rice,RB,BAL,3,0.7,1.01,1.05,157,00-0026195
2010,4,1.04,Maurice Jones-Drew,RB,JAX,4.4,1.2,1.01,1.08,355,00-0024275
2010,5,1.06,Andre Johnson,WR,HOU,5.6,1.4,1.01,1.09,315,00-0022044
2010,6,1.06,Frank Gore,RB,SF,6,1.4,1.01,1.11,453,00-0023500
2010,7,1.07,Aaron Rodgers,QB,GB,6.8,2.3,1.01,2.03,327,00-0023459
2010,8,1.08,Michael Turner,RB,ATL,8.1,2.1,1.03,2.04,508,00-0022821
2010,9,1.09,Randy Moss,WR,TEN,8.8,1.8,1.03,2.03,341,00-0011754
2010,10,1.12,Steven Jackson,RB,LAR,11.8,2.8,1.04,2.11,352,00-0022736
2010,11,1.12,Reggie Wayne,WR,IND,11.9,2.7,1.05,2.09,212,00-0020498
2010,12,1.12,Drew Brees,QB,NO,12.1,3.7,1.01,2.12,505,00-0020531
2010,13,2.01,Calvin Johnson,WR,DET,12.6,2.7,1.01,2.09,260,00-0025389
2010,14,2.03,Ryan Mathews,RB,LAC,14.8,3.7,1.01,3.02,483,00-0027864
2010,15,2.03,Miles Austin,WR,DAL,15.1,2.8,1.05,2.11,252,00-0023921
2010,16,2.05,Roddy White,WR,ATL,16.6,3.1,1.09,3.04,300,00-0023462
2010,17,2.06,Peyton Manning,QB,IND,17.7,4.3,1.01,3.03,463,00-0010346
2010,18,2.06,Rashard Mendenhall,RB,PIT,18.2,4,1.07,3.07,428,00-0026163
2010,19,2.07,Brandon Marshall,WR,MIA,18.9,3.4,1.09,3.05,255,00-0024334
2010,20,2.07,Larry Fitzgerald,WR,ARI,19.2,3.4,2.01,3.05,311,00-0022921
2010,21,2.08,DeAngelo Williams,RB,CAR,20.4,4.8,1.08,3.11,434,00-0024242
2010,22,2.1,Greg Jennings,WR,GB,21.5,3.4,1.1,3.07,406,00-0024267
2010,23,2.12,DeSean Jackson,WR,PHI,24.2,4,1.06,3.09,284,00-0026189
2010,24,3.01,Shonn Greene,RB,NYJ,25,5.6,1.01,3.12,384,00-0026899
2010,25,3.01,Tom Brady,QB,NE,25.2,5.5,1.01,4.05,476,00-0019596
2010,26,3.02,Marques Colston,WR,NO,25.7,4,2.01,3.12,317,00-0024466
2010,27,3.03,Jamaal Charles,RB,KC,27.3,5.7,1.11,4.05,298,00-0026213
2010,28,3.04,Wes Welker,WR,NE,28.2,4.4,1.12,4.04,159,00-0022427
2010,29,3.04,Ryan Grant,RB,GB,28.5,5.3,1.1,4.05,441,00-0022984
2010,30,3.07,Anquan Boldin,WR,BAL,31.1,4.4,2.07,4.09,339,00-0022084
2010,31,3.08,Cedric Benson,RB,CIN,31.7,5.4,2.01,4.09,354,00-0023439
2010,32,3.08,Matt Schaub,QB,HOU,31.9,6.1,2.04,4.11,357,00-0022787
2010,33,3.08,Pierre Thomas,RB,NO,32.4,4.5,2.01,4.11,276,00-0024813
2010,34,3.1,Steve Smith,WR,NYG,34.2,6.1,2.09,5.04,231,00-0020337
2010,35,3.11,Tony Romo,QB,DAL,35,5.8,2.07,5.03,263,00-0021678
2010,36,3.12,Arian Foster,RB,HOU,36.3,7.4,1.01,5.09,566,00-0026796
2010,37,4.01,Steve Smith,WR,CAR,36.6,5.8,2.11,5.07,389,00-0020337
2010,38,4.01,LeSean McCoy,RB,PHI,37.5,5.4,2.06,5.02,286,00-0027029
2010,39,4.02,Jahvid Best,RB,DET,38.5,6.3,2.05,5.08,409,00-0027880
2010,40,4.04,Dallas Clark,TE,IND,40,6.3,2.01,5.11,221,00-0022165
2010,41,4.06,Antonio Gates,TE,LAC,42,5.1,2.05,5.05,270,00-0021547
2010,42,4.06,Philip Rivers,QB,LAC,42,7,2.07,5.12,326,00-0022942
2010,43,4.07,Michael Crabtree,WR,SF,42.7,5.8,3.01,6.01,319,00-0026986
2010,44,4.07,Jermichael Finley,TE,GB,42.8,5.7,2.11,5.1,335,00-0026231
2010,45,4.08,Matt Forte,RB,CHI,44.3,6.7,2.11,6.04,332,00-0026184
2010,46,4.09,Chad Johnson,WR,CIN,45.2,6.7,2.12,6.02,330,00-0020397
2010,47,4.11,Dwayne Bowe,WR,KC,47.4,7,3.01,6.06,355,00-0025410
2010,48,4.12,Joseph Addai,RB,IND,47.6,7.8,2.07,6.05,352,00-0024245
2010,49,4.12,Beanie Wells,RB,ARI,48.2,8.3,3.04,6.08,219,00-0027007
2010,50,5.03,Jonathan Stewart,RB,CAR,50.7,8.2,2.08,7.06,288,00-0026153
2010,51,5.04,Vernon Davis,TE,SF,52,5.7,3.12,6.08,270,00-0024221
2010,52,5.04,Knowshon Moreno,RB,DEN,52.4,7.9,3.08,6.1,229,00-0026988
2010,53,5.05,Hakeem Nicks,WR,NYG,53.1,7.4,3.07,6.11,364,00-0027005
2010,54,5.06,Ronnie Brown,RB,MIA,53.9,7.9,3.05,6.12,309,00-0023437
2010,55,5.08,Jason Witten,TE,DAL,55.8,6.7,3.05,7.04,201,00-0022127
2010,56,5.08,Mike Sims-Walker,WR,JAX,56.3,7.8,3.12,7.06,316,00-0025466
2010,57,5.08,Pierre Garcon,WR,IND,56.3,8.3,3.02,7.05,380,00-0026345
2010,58,5.1,C.J. Spiller,RB,None,57.7,8.8,2.12,7.05,344,00-0027861
2010,59,5.1,Hines Ward,WR,PIT,58.1,7.1,4.01,7.03,223,00-0017162
2010,60,5.12,Malcom Floyd,WR,LAC,59.8,8.4,2.12,7.09,461,00-0022414
2010,61,6.01,Joe Flacco,QB,BAL,60.8,10.2,2.12,8.09,297,00-0026158
2010,62,6.02,Brent Celek,TE,PHI,61.7,7,4.11,7.07,141,00-0025549
2010,63,6.05,Kevin Kolb,QB,PHI,64.8,10.9,4.04,9.01,131,00-0025423
2010,64,6.05,Tony Gonzalez,TE,ATL,64.9,7.5,4.05,8.02,193,00-0006101
2010,65,6.05,Felix Jones,RB,DAL,65.2,9.2,4.01,8.06,128,00-0026162
2010,66,6.05,Ahmad Bradshaw,RB,NYG,65.4,8.8,3.11,8.08,545,00-0025637
2010,67,6.07,Donald Driver,WR,GB,67.3,9.2,3.01,8.07,352,00-0004541
2010,68,6.07,Reggie Bush,RB,NO,67.4,11.9,1.05,8.07,159,00-0024217
2010,69,6.08,Terrell Owens,WR,CIN,67.6,9.8,2.02,8.12,431,00-0012478
2010,70,6.08,Justin Forsett,RB,SEA,67.9,8.7,4.02,8.08,192,00-0026373
2010,71,6.12,Santana Moss,WR,WAS,72.2,9.3,4.02,8.1,284,00-0020494
2010,72,6.12,Mike Wallace,WR,PIT,72.3,8.9,4.09,9.05,478,00-0026901
2010,73,7.02,Jeremy Maclin,WR,PHI,73.7,8.3,5.01,9.02,293,00-0026995
2010,74,7.03,Marion Barber,RB,DAL,75.1,9.2,4.03,9.05,274,00-0023544
2010,75,7.03,Johnny Knox,WR,CHI,75.1,8.5,4.12,8.12,295,00-0026913
2010,76,7.04,Jerome Harrison,RB,PHI,75.9,10.1,3.1,9.03,464,00-0024359
2010,77,7.05,Owen Daniels,TE,HOU,77.3,9.6,5.09,10.08,154,00-0024313
2010,78,7.06,Jay Cutler,QB,CHI,78.4,12.7,4.05,9.11,155,00-0024226
2010,79,7.07,Ricky Williams,RB,MIA,78.5,8.2,4.03,9.05,212,00-0017915
2010,80,7.08,Dez Bryant,WR,DAL,80.1,10.5,2.12,9.07,315,00-0027902
2010,81,7.09,T.J. Houshmandzadeh,WR,BAL,81.1,10.1,5.05,9.06,96,00-0020438
2010,82,7.11,Brett Favre,QB,MIN,82.6,16.6,2.03,10.08,197,00-0005106
2010,83,7.12,Brandon Jacobs,RB,NYG,84.2,8.8,5.12,9.11,159,00-0023545
2010,84,7.12,Michael Bush,RB,LV,84.5,9.2,5.05,9.09,130,00-0025487
2010,85,8.02,Carnell Williams,RB,TB,86.2,8.5,6.01,9.08,305,-
2010,87,8.03,Clinton Portis,RB,WAS,87.2,10.1,4.01,10.12,331,00-0021179
2010,88,8.03,Vincent Jackson,WR,LAC,87.2,10.9,4.12,10.03,129,00-0023496
2010,89,8.05,Matt Ryan,QB,ATL,89.4,13.5,5.01,10.11,260,00-0026143
2010,90,8.06,Santonio Holmes,WR,NYJ,89.6,9.7,4.07,10.08,273,00-0024240
2010,91,8.06,Robert Meachem,WR,NO,89.9,10.5,5.01,10.12,333,00-0025414
2010,92,8.09,Jabar Gaffney,WR,DEN,93.2,10.3,6.02,10.07,283,00-0021163
2010,93,8.09,LaDainian Tomlinson,RB,NYJ,93.3,14.4,1.01,10.12,367,00-0020536
2010,94,8.1,Eli Manning,QB,NYG,93.8,15.9,1.01,11.04,310,00-0022803
