season,adp_rk,pick,name,pos,team,bye,overall,std,high,low,n,player_id,sleeper_id
2021,1,1.01,Christian McCaffrey,RB,CAR,13,1.3,0.6,1.01,1.03,362,00-0033280,4034
2021,2,1.02,Dalvin Cook,RB,MIN,7,2.4,0.8,1.01,1.04,393,00-0033893,4029
2021,3,1.03,Derrick Henry,RB,TEN,13,2.9,1.5,1.01,1.07,194,00-0032764,3198
2021,4,1.05,Alvin Kamara,RB,NO,6,4.9,1.2,1.01,1.09,296,00-0033906,4035
2021,5,1.05,Nick Chubb,RB,CLE,13,5.2,1.5,1.02,1.09,254,00-0034791,4988
2021,6,1.05,Saquon Barkley,RB,NYG,10,5.3,1.4,1.02,1.09,295,00-0034844,4866
2021,7,1.07,Jonathan Taylor,RB,IND,14,6.8,1.9,1.01,1.12,391,00-0036223,6813
2021,8,1.07,Ezekiel Elliott,RB,DAL,7,7.4,1.7,1.01,1.12,405,00-0033045,3164
2021,9,1.09,Aaron Jones,RB,GB,13,9.1,1.6,1.03,2.02,378,00-0033293,4199
2021,10,1.1,Tyreek Hill,WR,KC,12,10.5,2.1,1.02,2.04,423,00-0033040,3321
2021,11,1.11,Travis Kelce,TE,KC,12,10.5,2.2,1.01,2.04,382,00-0030506,1466
2021,12,1.11,Davante Adams,WR,GB,13,11.5,1.7,1.05,2.04,278,00-0031381,2133
2021,13,1.12,Cam Akers,RB,LAR,11,12.1,1.9,1.03,2.07,505,00-0036414,6938
2021,14,2.02,Stefon Diggs,WR,BUF,7,14.2,2,1.08,2.08,335,00-0031588,2449
2021,15,2.03,Austin Ekeler,RB,LAC,7,14.5,2.2,1.06,2.08,373,00-0033699,4663
2021,16,2.04,D.K. Metcalf,WR,SEA,9,15.8,2.3,1.04,2.1,266,00-0035640,5846
2021,17,2.04,Antonio Gibson,RB,WAS,9,16,2.4,1.09,2.11,312,00-0036328,6945
2021,18,2.04,Pat Mahomes,QB,KC,12,16.3,4,1.01,2.12,272,00-0033873,4046
2021,19,2.06,Josh Jacobs,RB,LV,8,17.9,3.1,1.09,3.02,246,00-0035700,5850
2021,20,2.06,DeAndre Hopkins,WR,ARI,12,18,2.5,1.09,3.01,367,00-0030564,1426
2021,21,2.08,Joe Mixon,RB,CIN,10,19.7,3,1.1,3.04,447,00-0033897,4018
2021,22,2.09,Calvin Ridley,WR,ATL,6,20.9,2.9,2.01,3.05,491,00-0034837,4981
2021,23,2.09,J.K. Dobbins,RB,BAL,8,21.3,3.7,1.12,3.07,340,00-0036158,6806
2021,24,2.1,A.J. Brown,WR,TEN,13,22.4,3.2,1.07,3.08,249,00-0035676,5859
2021,25,2.12,George Kittle,TE,SF,6,23.9,3.9,1.02,3.12,240,00-0033288,4217
2021,26,3.01,Justin Jefferson,WR,MIN,7,25.3,2.8,2.04,3.1,347,00-0036322,6794
2021,27,3.04,Clyde Edwards-Helaire,RB,KC,12,27.7,4.9,1.12,4.02,608,00-0036360,6820
2021,28,3.05,Darren Waller,TE,LV,8,28.7,3.9,2.03,4.04,334,00-0031610,2505
2021,29,3.05,Miles Sanders,RB,PHI,14,28.8,4,2.01,4.01,245,00-0035243,6151
2021,30,3.05,Michael Thomas,WR,NO,6,29.3,3.2,2.05,4.01,333,00-0032765,3199
2021,31,3.07,Keenan Allen,WR,LAC,7,30.8,3.5,2.02,4.04,333,00-0030279,1479
2021,32,3.07,James Robinson,RB,JAX,7,31.2,6.3,2.05,4.07,113,00-0035831,6955
