season,week,location,team,opponent,final_score,spread_line,team_coach,opponent_coach,game_id
1999,1,Away,ARI,PHI,25-24,3,Vince Tobin,Andy Reid,1999_01_ARI_PHI
1999,1,Home,PHI,ARI,24-25,-3,Andy Reid,Vince Tobin,1999_01_ARI_PHI
1999,1,Away,BAL,LA,10-27,-0,Brian Billick,Dick Vermeil,1999_01_BAL_STL
1999,1,Home,LA,BAL,27-10,0,Dick Vermeil,Brian Billick,1999_01_BAL_STL
1999,1,Away,BUF,IND,14-31,3,Wade Phillips,Jim Mora,1999_01_BUF_IND
1999,1,Home,IND,BUF,31-14,-3,Jim Mora,Wade Phillips,1999_01_BUF_IND
1999,1,Away,CAR,NO,10-19,-3.5,George Seifert,Mike Ditka,1999_01_CAR_NO
1999,1,Home,NO,CAR,19-10,3.5,Mike Ditka,George Seifert,1999_01_CAR_NO
1999,1,Away,CIN,TEN,35-36,-9,Bruce Coslet,Jeff Fisher,1999_01_CIN_TEN
1999,1,Home,TEN,CIN,36-35,9,Jeff Fisher,Bruce Coslet,1999_01_CIN_TEN
1999,1,Away,DAL,WAS,41-35,-2.5,Chan Gailey,Norv Turner,1999_01_DAL_WAS
1999,1,Home,WAS,DAL,35-41,2.5,Norv Turner,Chan Gailey,1999_01_DAL_WAS
1999,1,Away,KC,CHI,17-20,3,Gunther Cunningham,Dick Jauron,1999_01_KC_CHI
1999,1,Home,CHI,KC,20-17,-3,Dick Jauron,Gunther Cunningham,1999_01_KC_CHI
1999,1,Away,NE,NYJ,30-28,-7,Pete Carroll,Bill Parcells,1999_01_NE_NYJ
1999,1,Home,NYJ,NE,28-30,7,Bill Parcells,Pete Carroll,1999_01_NE_NYJ
1999,1,Away,LV,GB,24-28,-9,Jon Gruden,Ray Rhodes,1999_01_OAK_GB
1999,1,Home,GB,LV,28-24,9,Ray Rhodes,Jon Gruden,1999_01_OAK_GB
1999,1,Away,DET,SEA,28-20,-9.5,Bobby Ross,Mike Holmgren,1999_01_DET_SEA
1999,1,Home,SEA,DET,20-28,9.5,Mike Holmgren,Bobby Ross,1999_01_DET_SEA
1999,1,Away,MIN,ATL,17-14,4,Dennis Green,Dan Reeves,1999_01_MIN_ATL
1999,1,Home,ATL,MIN,14-17,-4,Dan Reeves,Dennis Green,1999_01_MIN_ATL
1999,1,Away,NYG,TB,17-13,-5.5,Jim Fassel,Tony Dungy,1999_01_NYG_TB
1999,1,Home,TB,NYG,13-17,5.5,Tony Dungy,Jim Fassel,1999_01_NYG_TB
1999,1,Away,SF,JAX,3-41,-5.5,Steve Mariucci,Tom Coughlin,1999_01_SF_JAX
1999,1,Home,JAX,SF,41-3,5.5,Tom Coughlin,Steve Mariucci,1999_01_SF_JAX
1999,1,Away,PIT,CLE,43-0,6,Bill Cowher,Chris Palmer,1999_01_PIT_CLE
1999,1,Home,CLE,PIT,0-43,-6,Chris Palmer,Bill Cowher,1999_01_PIT_CLE
1999,1,Away,MIA,DEN,38-21,-6,Jimmy Johnson,Mike Shanahan,1999_01_MIA_DEN
1999,1,Home,DEN,MIA,21-38,6,Mike Shanahan,Jimmy Johnson,1999_01_MIA_DEN
1999,2,Away,ARI,MIA,16-19,-9,Vince Tobin,Jimmy Johnson,1999_02_ARI_MIA
1999,2,Home,MIA,ARI,19-16,9,Jimmy Johnson,Vince Tobin,1999_02_ARI_MIA
1999,2,Away,GB,DET,15-23,6.5,Ray Rhodes,Bobby Ross,1999_02_GB_DET
1999,2,Home,DET,GB,23-15,-6.5,Bobby Ross,Ray Rhodes,1999_02_GB_DET
1999,2,Away,IND,NE,28-31,-4.5,Jim Mora,Pete Carroll,1999_02_IND_NE
1999,2,Home,NE,IND,31-28,4.5,Pete Carroll,Jim Mora,1999_02_IND_NE
1999,2,Away,JAX,CAR,22-20,9.5,Tom Coughlin,George Seifert,1999_02_JAX_CAR
1999,2,Home,CAR,JAX,20-22,-9.5,George Seifert,Tom Coughlin,1999_02_JAX_CAR
1999,2,Away,LV,MIN,22-17,-11,Jon Gruden,Dennis Green,1999_02_OAK_MIN
1999,2,Home,MIN,LV,17-22,11,Dennis Green,Jon Gruden,1999_02_OAK_MIN
1999,2,Away,PIT,BAL,23-20,2.5,Bill Cowher,Brian Billick,1999_02_PIT_BAL
1999,2,Home,BAL,PIT,20-23,-2.5,Brian Billick,Bill Cowher,1999_02_PIT_BAL
1999,2,Away,LAC,CIN,34-7,-1,Mike Riley,Bruce Coslet,1999_02_SD_CIN
1999,2,Home,CIN,LAC,7-34,1,Bruce Coslet,Mike Riley,1999_02_SD_CIN
1999,2,Away,SEA,CHI,14-13,3.5,Mike Holmgren,Dick Jauron,1999_02_SEA_CHI
1999,2,Home,CHI,SEA,13-14,-3.5,Dick Jauron,Mike Holmgren,1999_02_SEA_CHI
1999,2,Away,TB,PHI,19-5,6.5,Tony Dungy,Andy Reid,1999_02_TB_PHI
1999,2,Home,PHI,TB,5-19,-6.5,Andy Reid,Tony Dungy,1999_02_TB_PHI
1999,2,Away,WAS,NYG,50-21,-2.5,Norv Turner,Jim Fassel,1999_02_WAS_NYG
1999,2,Home,NYG,WAS,21-50,2.5,Jim Fassel,Norv Turner,1999_02_WAS_NYG
1999,2,Away,NO,SF,21-28,-11,Mike Ditka,Steve Mariucci,1999_02_NO_SF
1999,2,Home,SF,NO,28-21,11,Steve Mariucci,Mike Ditka,1999_02_NO_SF
1999,2,Away,CLE,TEN,9-26,-16,Chris Palmer,Jeff Fisher,1999_02_CLE_TEN
1999,2,Home,TEN,CLE,26-9,16,Jeff Fisher,Chris Palmer,1999_02_CLE_TEN
1999,2,Away,DEN,KC,10-26,3.5,Mike Shanahan,Gunther Cunningham,1999_02_DEN_KC
1999,2,Home,KC,DEN,26-10,-3.5,Gunther Cunningham,Mike Shanahan,1999_02_DEN_KC
1999,2,Away,NYJ,BUF,3-17,-4,Bill Parcells,Wade Phillips,1999_02_NYJ_BUF
1999,2,Home,BUF,NYJ,17-3,4,Wade Phillips,Bill Parcells,1999_02_NYJ_BUF
1999,2,Away,ATL,DAL,7-24,-6.5,Dan Reeves,Chan Gailey,1999_02_ATL_DAL
1999,2,Home,DAL,ATL,24-7,6.5,Chan Gailey,Dan Reeves,1999_02_ATL_DAL
1999,3,Away,ATL,LA,7-35,1.5,Dan Reeves,Dick Vermeil,1999_03_ATL_STL
1999,3,Home,LA,ATL,35-7,-1.5,Dick Vermeil,Dan Reeves,1999_03_ATL_STL
1999,3,Away,WAS,NYJ,27-20,1,Norv Turner,Bill Parcells,1999_03_WAS_NYJ
1999,3,Home,NYJ,WAS,20-27,-1,Bill Parcells,Norv Turner,1999_03_WAS_NYJ
1999,3,Away,CIN,CAR,3-27,-7,Bruce Coslet,George Seifert,1999_03_CIN_CAR
1999,3,Home,CAR,CIN,27-3,7,George Seifert,Bruce Coslet,1999_03_CIN_CAR
1999,3,Away,CLE,BAL,10-17,-12,Chris Palmer,Brian Billick,1999_03_CLE_BAL
1999,3,Home,BAL,CLE,17-10,12,Brian Billick,Chris Palmer,1999_03_CLE_BAL
1999,3,Away,DEN,TB,10-13,-2.5,Mike Shanahan,Tony Dungy,1999_03_DEN_TB
1999,3,Home,TB,DEN,13-10,2.5,Tony Dungy,Mike Shanahan,1999_03_DEN_TB
1999,3,Away,DET,KC,21-31,-3.5,Bobby Ross,Gunther Cunningham,1999_03_DET_KC
1999,3,Home,KC,DET,31-21,3.5,Gunther Cunningham,Bobby Ross,1999_03_DET_KC
1999,3,Away,PHI,BUF,0-26,-11.5,Andy Reid,Wade Phillips,1999_03_PHI_BUF
1999,3,Home,BUF,PHI,26-0,11.5,Wade Phillips,Andy Reid,1999_03_PHI_BUF
1999,3,Away,SEA,PIT,29-10,-4,Mike Holmgren,Bill Cowher,1999_03_SEA_PIT
1999,3,Home,PIT,SEA,10-29,4,Bill Cowher,Mike Holmgren,1999_03_SEA_PIT
1999,3,Away,TEN,JAX,20-19,-9.5,Jeff Fisher,Tom Coughlin,1999_03_TEN_JAX
1999,3,Home,JAX,TEN,19-20,9.5,Tom Coughlin,Jeff Fisher,1999_03_TEN_JAX
1999,3,Away,IND,LAC,27-19,1,Jim Mora,Mike Riley,1999_03_IND_SD
1999,3,Home,LAC,IND,19-27,-1,Mike Riley,Jim Mora,1999_03_IND_SD
1999,3,Away,CHI,LV,17-24,-7,Dick Jauron,Jon Gruden,1999_03_CHI_OAK
1999,3,Home,LV,CHI,24-17,7,Jon Gruden,Dick Jauron,1999_03_CHI_OAK
1999,3,Away,MIN,GB,20-23,-0,Dennis Green,Ray Rhodes,1999_03_MIN_GB
1999,3,Home,GB,MIN,23-20,0,Ray Rhodes,Dennis Green,1999_03_MIN_GB
1999,3,Away,NYG,NE,14-16,-6,Jim Fassel,Pete Carroll,1999_03_NYG_NE
1999,3,Home,NE,NYG,16-14,6,Pete Carroll,Jim Fassel,1999_03_NYG_NE
1999,3,Away,SF,ARI,24-10,2.5,Steve Mariucci,Vince Tobin,1999_03_SF_ARI
1999,3,Home,ARI,SF,10-24,-2.5,Vince Tobin,Steve Mariucci,1999_03_SF_ARI
1999,4,Away,ARI,DAL,7-35,-7,Vince Tobin,Chan Gailey,1999_04_ARI_DAL
1999,4,Home,DAL,ARI,35-7,7,Chan Gailey,Vince Tobin,1999_04_ARI_DAL
1999,4,Away,BAL,ATL,19-13,-2.5,Brian Billick,Dan Reeves,1999_04_BAL_ATL
1999,4,Home,ATL,BAL,13-19,2.5,Dan Reeves,Brian Billick,1999_04_BAL_ATL
1999,4,Away,JAX,PIT,17-3,3,Tom Coughlin,Bill Cowher,1999_04_JAX_PIT
1999,4,Home,PIT,JAX,3-17,-3,Bill Cowher,Tom Coughlin,1999_04_JAX_PIT
1999,4,Away,NE,CLE,19-7,12,Pete Carroll,Chris Palmer,1999_04_NE_CLE
1999,4,Home,CLE,NE,7-19,-12,Chris Palmer,Pete Carroll,1999_04_NE_CLE
1999,4,Away,NO,CHI,10-14,1,Mike Ditka,Dick Jauron,1999_04_NO_CHI
1999,4,Home,CHI,NO,14-10,-1,Dick Jauron,Mike Ditka,1999_04_NO_CHI
1999,4,Away,PHI,NYG,15-16,-9.5,Andy Reid,Jim Fassel,1999_04_PHI_NYG
1999,4,Home,NYG,PHI,16-15,9.5,Jim Fassel,Andy Reid,1999_04_PHI_NYG
1999,4,Away,LA,CIN,38-10,3.5,Dick Vermeil,Bruce Coslet,1999_04_STL_CIN
1999,4,Home,CIN,LA,10-38,-3.5,Bruce Coslet,Dick Vermeil,1999_04_STL_CIN
1999,4,Away,TB,MIN,14-21,-7,Tony Dungy,Dennis Green,1999_04_TB_MIN
1999,4,Home,MIN,TB,21-14,7,Dennis Green,Tony Dungy,1999_04_TB_MIN
1999,4,Away,CAR,WAS,36-38,-8.5,George Seifert,Norv Turner,1999_04_CAR_WAS
1999,4,Home,WAS,CAR,38-36,8.5,Norv Turner,George Seifert,1999_04_CAR_WAS
1999,4,Away,KC,LAC,14-21,-1,Gunther Cunningham,Mike Riley,1999_04_KC_SD
1999,4,Home,LAC,KC,21-14,1,Mike Riley,Gunther Cunningham,1999_04_KC_SD
1999,4,Away,NYJ,DEN,21-13,-5.5,Bill Parcells,Mike Shanahan,1999_04_NYJ_DEN
1999,4,Home,DEN,NYJ,13-21,5.5,Mike Shanahan,Bill Parcells,1999_04_NYJ_DEN
1999,4,Away,TEN,SF,22-24,-1.5,Jeff Fisher,Steve Mariucci,1999_04_TEN_SF
1999,4,Home,SF,TEN,24-22,1.5,Steve Mariucci,Jeff Fisher,1999_04_TEN_SF
1999,4,Away,LV,SEA,21-22,-3.5,Jon Gruden,Mike Holmgren,1999_04_OAK_SEA
1999,4,Home,SEA,LV,22-21,3.5,Mike Holmgren,Jon Gruden,1999_04_OAK_SEA
1999,4,Away,BUF,MIA,23-18,-4.5,Wade Phillips,Jimmy Johnson,1999_04_BUF_MIA
1999,4,Home,MIA,BUF,18-23,4.5,Jimmy Johnson,Wade Phillips,1999_04_BUF_MIA
1999,5,Away,ATL,NO,20-17,-3,Dan Reeves,Mike Ditka,1999_05_ATL_NO
1999,5,Home,NO,ATL,17-20,3,Mike Ditka,Dan Reeves,1999_05_ATL_NO
1999,5,Away,CHI,MIN,24-22,-13,Dick Jauron,Dennis Green,1999_05_CHI_MIN
1999,5,Home,MIN,CHI,22-24,13,Dennis Green,Dick Jauron,1999_05_CHI_MIN
1999,5,Away,CIN,CLE,18-17,3,Bruce Coslet,Chris Palmer,1999_05_CIN_CLE
1999,5,Home,CLE,CIN,17-18,-3,Chris Palmer,Bruce Coslet,1999_05_CIN_CLE
1999,5,Away,DAL,PHI,10-13,9.5,Chan Gailey,Andy Reid,1999_05_DAL_PHI
1999,5,Home,PHI,DAL,13-10,-9.5,Andy Reid,Chan Gailey,1999_05_DAL_PHI
1999,5,Away,NE,KC,14-16,-2.5,Pete Carroll,Gunther Cunningham,1999_05_NE_KC
1999,5,Home,KC,NE,16-14,2.5,Gunther Cunningham,Pete Carroll,1999_05_NE_KC
1999,5,Away,PIT,BUF,21-24,-6.5,Bill Cowher,Wade Phillips,1999_05_PIT_BUF
1999,5,Home,BUF,PIT,24-21,6.5,Wade Phillips,Bill Cowher,1999_05_PIT_BUF
1999,5,Away,LAC,DET,20-10,-3.5,Mike Riley,Bobby Ross,1999_05_SD_DET
1999,5,Home,DET,LAC,10-20,3.5,Bobby Ross,Mike Riley,1999_05_SD_DET
1999,5,Away,SF,LA,20-42,-3,Steve Mariucci,Dick Vermeil,1999_05_SF_STL
1999,5,Home,LA,SF,42-20,3,Dick Vermeil,Steve Mariucci,1999_05_SF_STL
1999,5,Away,NYG,ARI,3-14,-3,Jim Fassel,Vince Tobin,1999_05_NYG_ARI
1999,5,Home,ARI,NYG,14-3,3,Vince Tobin,Jim Fassel,1999_05_NYG_ARI
1999,5,Away,BAL,TEN,11-14,-7,Brian Billick,Jeff Fisher,1999_05_BAL_TEN
1999,5,Home,TEN,BAL,14-11,7,Jeff Fisher,Brian Billick,1999_05_BAL_TEN
1999,5,Away,DEN,LV,16-13,-7,Mike Shanahan,Jon Gruden,1999_05_DEN_OAK
1999,5,Home,LV,DEN,13-16,7,Jon Gruden,Mike Shanahan,1999_05_DEN_OAK
1999,5,Away,MIA,IND,34-31,1.5,Jimmy Johnson,Jim Mora,1999_05_MIA_IND
1999,5,Home,IND,MIA,31-34,-1.5,Jim Mora,Jimmy Johnson,1999_05_MIA_IND
1999,5,Away,TB,GB,23-26,-6,Tony Dungy,Ray Rhodes,1999_05_TB_GB
1999,5,Home,GB,TB,26-23,6,Ray Rhodes,Tony Dungy,1999_05_TB_GB
1999,5,Away,JAX,NYJ,16-6,3,Tom Coughlin,Bill Parcells,1999_05_JAX_NYJ
1999,5,Home,NYJ,JAX,6-16,-3,Bill Parcells,Tom Coughlin,1999_05_JAX_NYJ
1999,6,Away,CLE,JAX,7-24,-17.5,Chris Palmer,Tom Coughlin,1999_06_CLE_JAX
