player_id,season,games,total_snaps,offense_snaps,special_teams_snaps,started,start_rate,active_rate,healthy_rate,qual_snap_rate,total_snaps_per_game,offense_snaps_per_game,offense_snap_rate,special_teams_snaps_per_game
00-0000108,2012,16,175,0,175,0,0,1,0.69,0,10.94,0,0,10.94
00-0000108,2013,16,85,0,85,0,0,1,1,0,5.31,0,0,5.31
00-0000551,2012,16,563,0,393,3,0.19,1,0.88,0,35.19,0,0,24.56
00-0000585,2012,16,1018,0,7,15,0.94,1,1,0,63.62,0,0,0.44
00-0000585,2013,16,188,0,0,3,0.19,0.31,0.06,0,11.75,0,0,0
00-0000741,2012,16,1177,4,102,16,1,1,1,0,73.56,0.25,0,6.38
00-0000865,2012,16,129,129,0,2,0.12,1,1,0.12,8.06,8.06,0.12,0
00-0001263,2012,16,1019,1017,2,16,1,1,0.94,0.94,63.69,63.56,0.94,0.12
00-0001820,2012,16,505,0,53,14,0.88,1,0.94,0,31.56,0,0,3.31
00-0004091,2012,16,138,0,138,0,0,1,1,0,8.62,0,0,8.62
00-0004091,2013,16,173,0,173,0,0,1,1,0,10.81,0,0,10.81
00-0004091,2014,16,142,0,142,0,0,1,1,0,8.88,0,0,8.88
00-0004091,2015,16,55,0,55,0,0,1,1,0,3.44,0,0,3.44
00-0004091,2016,16,98,0,98,0,0,1,1,0,6.12,0,0,6.12
00-0004091,2017,16,145,0,145,0,0,1,1,0,9.06,0,0,9.06
00-0004091,2018,16,55,0,55,NA,NA,0.62,0.5,0,3.44,0,0,3.44
00-0004541,2012,16,153,150,3,1,0.06,0.88,0.56,0,9.56,9.38,0.14,0.19
00-0005322,2012,16,1068,0,63,16,1,1,1,0,66.75,0,0,3.94
00-0005322,2013,16,1005,0,90,16,1,1,1,0,62.81,0,0,5.62
00-0006101,2012,16,964,964,0,16,1,1,0.94,1,60.25,60.25,0.91,0
00-0006101,2013,16,1003,1003,0,16,1,1,0.56,1,62.69,62.69,0.93,0
00-0006800,2012,16,164,0,164,0,0,1,0.88,0,10.25,0,0,10.25
00-0007091,2012,16,395,395,0,5,0.31,1,1,0.38,24.69,24.69,0.39,0
00-0007091,2013,16,23,23,0,0,0,1,1,0,1.44,1.44,0.02,0
00-0007091,2014,16,82,82,0,0,0,1,1,0.12,5.12,5.12,0.08,0
00-0007091,2015,16,460,460,0,8,0.5,1,1,0.44,28.75,28.75,0.43,0
00-0007611,2012,16,206,0,11,1,0.06,1,1,0,12.88,0,0,0.69
00-0009889,2012,16,443,0,2,NA,NA,0.38,0.38,0,27.69,0,0,0.12
00-0010341,2012,16,157,0,157,0,0,1,0.94,0,9.81,0,0,9.81
00-0010341,2013,16,127,0,127,0,0,0.88,0.81,0,7.94,0,0,7.94
00-0010346,2012,16,1111,1111,0,16,1,1,1,1,69.44,69.44,0.97,0
00-0010346,2013,16,1156,1156,0,16,1,1,1,1,72.25,72.25,0.96,0
00-0010346,2014,16,1092,1092,0,16,1,1,1,1,68.25,68.25,0.97,0
00-0010346,2015,16,593,593,0,9,0.56,1,1,0.5,37.06,37.06,0.56,0
00-0010373,2012,3,31,0,31,0,0,1,1,0,10.33,0,0,10.33
00-0010711,2012,16,1044,1044,0,16,1,1,0.88,1,65.25,65.25,0.99,0
00-0011626,2012,16,110,0,110,NA,NA,0.94,0.88,0,6.88,0,0,6.88
00-0011626,2013,11,110,0,110,0,0,1,1,0,10,0,0,10
00-0011754,2012,16,409,406,3,2,0.12,1,0.94,0.25,25.56,25.38,0.41,0.19
00-0012871,2012,16,261,0,145,3,0.19,1,0.88,0,16.31,0,0,9.06
00-0014375,2012,16,959,959,0,14,0.88,1,1,0.88,59.94,59.94,0.87,0
00-0015474,2012,16,730,0,28,16,1,1,0.81,0,45.62,0,0,1.75
00-0015754,2012,16,598,598,0,9,0.56,0.94,0.75,0.56,37.38,37.38,0.53,0
00-0015754,2013,16,115,115,0,NA,NA,0.38,0.19,0.06,7.19,7.19,0.09,0
00-0016919,2012,16,70,0,70,0,0,1,1,0,4.38,0,0,4.38
00-0016919,2013,16,74,0,74,0,0,1,1,0,4.62,0,0,4.62
00-0016919,2014,16,82,0,82,0,0,1,1,0,5.12,0,0,5.12
00-0016919,2015,16,64,0,64,0,0,1,1,0,4,0,0,4
00-0016919,2016,16,80,0,80,0,0,1,1,0,5,0,0,5
00-0016919,2017,16,61,0,61,0,0,1,1,0,3.81,0,0,3.81
00-0016919,2018,16,77,0,77,0,0,1,0.88,0,4.81,0,0,4.81
00-0016919,2019,16,54,0,54,NA,NA,0.75,0.75,0,3.38,0,0,3.38
00-0018093,2012,16,1084,0,58,15,0.94,1,0.25,0,67.75,0,0,3.62
00-0018227,2012,16,467,0,0,7,0.44,1,1,0,29.19,0,0,0
00-0018227,2013,16,1147,0,80,16,1,1,1,0,71.69,0,0,5
00-0018227,2014,16,1207,0,105,16,1,1,1,0,75.44,0,0,6.56
00-0018227,2015,16,1114,1,1,16,1,1,1,0,69.62,0.06,0,0.06
00-0018584,2013,16,358,329,29,NA,NA,0.5,0.5,0.38,22.38,20.56,0.33,1.81
00-0018956,2012,16,1108,1061,47,16,1,1,0.44,1,69.25,66.31,1,2.94
00-0018956,2013,16,1063,1056,7,16,1,1,1,1,66.44,66,1,0.44
00-0019104,2012,16,1090,0,77,16,1,1,0.62,0,68.12,0,0,4.81
00-0019104,2013,16,373,0,136,6,0.38,0.88,0.81,0,23.31,0,0,8.5
00-0019188,2012,8,75,0,75,0,0,1,1,0,9.38,0,0,9.38
00-0019310,2012,16,111,0,111,0,0,1,1,0,6.94,0,0,6.94
00-0019310,2013,16,63,0,63,0,0,1,1,0,3.94,0,0,3.94
00-0019435,2012,16,170,1,169,0,0,1,0.56,0,10.62,0.06,0,10.56
00-0019435,2013,16,152,0,152,0,0,1,0.94,0,9.5,0,0,9.5
00-0019435,2014,16,153,0,153,0,0,1,1,0,9.56,0,0,9.56
00-0019435,2015,16,153,0,153,0,0,1,0.88,0,9.56,0,0,9.56
00-0019456,2012,16,756,0,41,12,0.75,0.75,0.62,0,47.25,0,0,2.56
00-0019536,2012,16,174,0,174,0,0,1,0.94,0,10.88,0,0,10.88
00-0019536,2013,2,10,0,10,0,0,1,1,0,5,0,0,5
00-0019536,2014,16,72,0,72,0,0,1,1,0,4.5,0,0,4.5
00-0019536,2015,16,19,0,19,NA,NA,1,0.94,0,1.19,0,0,1.19
00-0019538,2012,16,48,0,4,NA,NA,0.94,0.88,0,3,0,0,0.25
00-0019546,2012,16,731,0,0,15,0.94,1,0.75,0,45.69,0,0,0
00-0019546,2013,16,926,0,63,13,0.81,1,0.56,0,57.88,0,0,3.94
00-0019546,2014,16,38,0,2,NA,NA,0.06,0.06,0,2.38,0,0,0.12
00-0019548,2012,16,155,0,155,0,0,1,1,0,9.69,0,0,9.69
00-0019596,2012,16,1213,1213,0,16,1,1,1,1,75.81,75.81,0.98,0
00-0019596,2013,16,1197,1197,0,16,1,1,1,1,74.81,74.81,1,0
00-0019596,2014,16,1062,1062,0,16,1,1,1,0.94,66.38,66.38,0.93,0
00-0019596,2015,16,1105,1105,0,16,1,1,1,1,69.06,69.06,0.99,0
00-0019596,2016,12,819,819,0,12,1,1,1,1,68.25,68.25,0.96,0
00-0019596,2017,16,1118,1118,0,16,1,1,1,1,69.88,69.88,0.98,0
00-0019596,2018,16,1092,1092,0,16,1,1,1,1,68.25,68.25,0.98,0
00-0019596,2019,16,1142,1142,0,16,1,1,1,1,71.38,71.38,0.99,0
00-0019596,2020,16,1025,1025,0,16,1,1,1,1,64.06,64.06,0.96,0
00-0019629,2012,16,399,355,44,6,0.38,0.88,0.81,0.31,24.94,22.19,0.34,2.75
00-0019632,2012,16,1136,1076,60,16,1,1,0.94,1,71,67.25,1,3.75
00-0019642,2012,6,34,34,0,3,0.5,1,1,0,5.67,5.67,0.09,0
00-0019642,2013,16,0,0,0,NA,NA,0,0,0,0,0,0,0
00-0019646,2012,16,133,0,133,0,0,1,0.38,0,8.31,0,0,8.31
00-0019646,2013,16,142,0,142,0,0,1,0.75,0,8.88,0,0,8.88
00-0019646,2014,16,113,0,113,0,0,1,0.94,0,7.06,0,0,7.06
00-0019646,2015,16,144,0,144,0,0,1,1,0,9,0,0,9
00-0019646,2016,16,164,0,164,0,0,1,1,0,10.25,0,0,10.25
00-0019646,2017,16,0,0,0,NA,NA,0,0,0,0,0,0,0
00-0019646,2018,16,154,0,154,0,0,1,1,0,9.62,0,0,9.62
00-0019714,2012,16,149,1,148,0,0,1,1,0,9.31,0.06,0,9.25
00-0019714,2013,16,154,0,154,0,0,1,0.94,0,9.62,0,0,9.62
00-0019714,2014,16,164,0,164,0,0,1,0.75,0,10.25,0,0,10.25
00-0019714,2015,16,161,0,161,0,0,1,1,0,10.06,0,0,10.06
00-0019714,2016,16,141,0,141,0,0,1,1,0,8.81,0,0,8.81
00-0019714,2017,16,157,0,157,0,0,1,1,0,9.81,0,0,9.81
00-0019770,2012,16,118,0,118,0,0,1,0.94,0,7.38,0,0,7.38
00-0019770,2013,16,158,0,158,0,0,1,0.94,0,9.88,0,0,9.88
00-0019770,2014,4,24,0,24,0,0,1,1,0,6,0,0,6
00-0019778,2012,16,180,0,180,0,0,1,1,0,11.25,0,0,11.25
00-0019778,2013,16,0,0,0,NA,NA,0,0,0,0,0,0,0
00-0019986,2012,16,539,0,11,0,0,1,0.56,0,33.69,0,0,0.69
00-0020245,2012,16,667,667,0,10,0.62,0.62,0.56,0.56,41.69,41.69,0.57,0
00-0020245,2013,16,325,325,0,6,0.38,0.69,0.56,0.25,20.31,20.31,0.29,0
00-0020245,2014,16,272,272,0,3,0.19,0.94,0.88,0.31,17,17,0.26,0
00-0020245,2015,16,172,172,0,3,0.19,0.81,0.81,0.19,10.75,10.75,0.18,0
00-0020260,2012,16,1121,1045,76,16,1,1,1,1,70.06,65.31,1,4.75
00-0020260,2013,16,1134,1057,77,16,1,1,1,1,70.88,66.06,1,4.81
00-0020260,2014,16,777,746,31,12,0.75,0.75,0.62,0.69,48.56,46.62,0.71,1.94
00-0020267,2012,13,123,0,123,0,0,1,1,0,9.46,0,0,9.46
00-0020286,2012,16,367,0,52,NA,NA,0.69,0.69,0,22.94,0,0,3.25
00-0020337,2012,16,916,910,6,16,1,1,0.69,1,57.25,56.88,0.89,0.38
00-0020337,2013,16,774,770,4,15,0.94,0.94,0.62,0.88,48.38,48.12,0.73,0.25
00-0020337,2014,16,823,822,1,16,1,1,1,1,51.44,51.38,0.77,0.06
00-0020337,2015,16,354,348,6,NA,NA,0.44,0.31,0.38,22.12,21.75,0.3,0.38
00-0020337,2016,16,722,721,1,14,0.88,1,1,0.81,45.12,45.06,0.64,0.06
00-0020382,2012,16,645,0,4,16,1,1,0.94,0,40.31,0,0,0.25
00-0020389,2012,16,149,116,33,NA,NA,0.88,0.75,0.12,9.31,7.25,0.12,2.06
00-0020426,2012,16,497,0,2,16,1,1,1,0,31.06,0,0,0.12
00-0020442,2012,16,386,0,38,NA,NA,0.5,0,0,24.12,0,0,2.38
00-0020444,2012,16,1120,1065,55,15,0.94,0.94,0.69,0.88,70,66.56,0.9,3.44
00-0020445,2012,16,1200,1200,0,16,1,1,1,1,75,75,1,0
