season,adp_rk,pick,name,pos,team,bye,overall,std,high,low,n,player_id,sleeper_id,,NAs
2021,1,1.01,Christian McCaffrey,RB,CAR,13,1.3,0.5,1.01,1.03,271,00-0033280,4034,,Pat Mahomes
2021,2,1.02,Dalvin Cook,RB,MIN,7,2.4,0.8,1.01,1.04,291,00-0033893,4029,,Tony Pollard
2021,3,1.03,Derrick Henry,RB,TEN,13,3,1.6,1.01,1.07,159,00-0032764,3198,,Michael Pittman Jr.
2021,4,1.05,Alvin Kamara,RB,NO,6,4.8,1.3,1.01,1.09,217,00-0033906,4035,,Phillip Lindsay
2021,5,1.05,Saquon Barkley,RB,NYG,10,5,1.3,1.02,1.09,228,00-0034844,4866,,Jamaal Williams
2021,6,1.06,Nick Chubb,RB,CLE,13,5.6,1.5,1.02,1.09,251,00-0034791,4988,,Carson Wentz
2021,7,1.07,Jonathan Taylor,RB,IND,14,6.9,2.1,1.01,1.12,301,00-0036223,6813,,Henry Ruggs III
2021,8,1.07,Ezekiel Elliott,RB,DAL,7,7.3,1.7,1.02,1.12,307,00-0033045,3164,,Trevor Lawrence
2021,9,1.09,Aaron Jones,RB,GB,13,9.1,1.7,1.03,2.02,296,00-0033293,4199,,Mecole Hardman
2021,10,1.11,Travis Kelce,TE,KC,12,10.7,2.3,1.02,2.04,321,00-0030506,1466,,Robert Tonyan Jr.
2021,11,1.11,Tyreek Hill,WR,KC,12,10.8,2,1.02,2.04,356,00-0033040,3321,,Irv Smith Jr.
2021,12,1.11,Davante Adams,WR,GB,13,11.2,1.8,1.05,2.03,240,00-0031381,2133,,Sterling Shepard
2021,13,2.01,Cam Akers,RB,LAR,11,12.5,2.4,1.03,2.09,401,00-0036414,6938,,Justin Fields
2021,14,2.02,Stefon Diggs,WR,BUF,7,14.3,1.9,1.08,2.08,301,00-0031588,2449,,Daniel Jones
2021,15,2.03,Antonio Gibson,RB,WAS,9,15,2.5,1.09,2.1,193,00-0036328,6945,,Justin Jackson
2021,16,2.03,Austin Ekeler,RB,LAC,7,15,2.5,1.08,3.01,298,00-0033699,4663,,Christian Kirk
2021,17,2.04,Pat Mahomes,QB,KC,12,15.9,4.5,1.01,3.02,211,#N/A,#N/A,,Malcolm Brown
2021,18,2.04,D.K. Metcalf,WR,SEA,9,16.4,2.6,1.04,3.01,255,00-0035640,#N/A,,
2021,19,2.05,Josh Jacobs,RB,LV,8,17.3,3.2,1.09,3.01,199,00-0035700,5850,,
2021,20,2.06,DeAndre Hopkins,WR,ARI,12,17.9,2.5,1.09,3.01,303,00-0030564,1426,,
2021,21,2.08,Joe Mixon,RB,CIN,10,19.9,3,1.11,3.04,385,00-0033897,4018,,
2021,22,2.09,Calvin Ridley,WR,ATL,6,21.2,3.1,2.01,3.04,360,00-0034837,4981,,
2021,23,2.09,J.K. Dobbins,RB,BAL,8,21.4,3.7,1.12,3.08,282,00-0036158,6806,,
2021,24,2.1,A.J. Brown,WR,TEN,13,22.2,3.3,1.07,3.05,217,00-0035676,5859,,
2021,25,2.11,George Kittle,TE,SF,6,23.2,3.9,1.02,3.06,203,00-0033288,4217,,
2021,26,3.01,Justin Jefferson,WR,MIN,7,25.3,2.9,2.04,3.1,262,00-0036322,6794,,
2021,27,3.04,Darren Waller,TE,LV,8,27.6,3.6,2.03,4.03,233,00-0031610,2505,,
2021,28,3.04,Miles Sanders,RB,PHI,14,27.8,4.2,2.01,4.01,204,00-0035243,6151,,
2021,29,3.05,James Robinson,RB,JAX,7,28.9,8.8,2.01,5.1,80,00-0035831,6955,,
2021,30,3.06,Michael Thomas,WR,NO,6,29.6,3.2,2.05,4.01,304,00-0032765,3199,,
2021,31,3.06,Clyde Edwards-Helaire,RB,KC,12,29.7,5,1.12,4.04,530,00-0036360,6820,,
2021,32,3.06,Keenan Allen,WR,LAC,7,30.5,3.2,2.02,4.04,267,00-0030279,1479,,
2021,33,3.08,Chris Carson,RB,SEA,9,31.9,3.7,2.05,4.04,332,00-0033594,4273,,
2021,34,3.09,David Montgomery,RB,CHI,10,32.8,3.3,2.09,4.06,257,00-0035685,5892,,
2021,35,3.1,D'Andre Swift,RB,DET,9,33.7,3.8,2.09,4.05,296,00-0036275,6790,,
2021,36,3.11,Josh Allen,QB,BUF,7,34.8,4.3,1.02,4.09,364,00-0034857,4984,,
2021,37,3.12,Mike Evans,WR,TB,9,35.9,3.5,3.01,4.08,338,00-0031408,2216,,
2021,38,4.01,Terry McLaurin,WR,WAS,9,36.8,3.6,3.01,4.1,300,00-0035659,5927,,
2021,39,4.02,Kyler Murray,QB,ARI,12,38,4.8,1.05,5.02,186,00-0035228,5849,,
