game_id,season,week,team,team_score,opp,opp_score,team_result,location,spread_line,team_coach,opp_coach
1999_01_ARI_PHI,1999,1,ARI,25,PHI,24,1,Away,3,Vince Tobin,Andy Reid
1999_01_ARI_PHI,1999,1,PHI,24,ARI,25,-1,Home,-3,Andy Reid,Vince Tobin
1999_01_BAL_STL,1999,1,BAL,10,LA,27,-17,Away,-0,Brian Billick,Dick Vermeil
1999_01_BAL_STL,1999,1,LA,27,BAL,10,17,Home,0,Dick Vermeil,Brian Billick
1999_01_BUF_IND,1999,1,BUF,14,IND,31,-17,Away,3,Wade Phillips,Jim Mora
1999_01_BUF_IND,1999,1,IND,31,BUF,14,17,Home,-3,Jim Mora,Wade Phillips
1999_01_CAR_NO,1999,1,CAR,10,NO,19,-9,Away,-3.5,George Seifert,Mike Ditka
1999_01_CAR_NO,1999,1,NO,19,CAR,10,9,Home,3.5,Mike Ditka,George Seifert
1999_01_CIN_TEN,1999,1,CIN,35,TEN,36,-1,Away,-9,Bruce Coslet,Jeff Fisher
1999_01_CIN_TEN,1999,1,TEN,36,CIN,35,1,Home,9,Jeff Fisher,Bruce Coslet
1999_01_DAL_WAS,1999,1,DAL,41,WAS,35,6,Away,-2.5,Chan Gailey,Norv Turner
1999_01_DAL_WAS,1999,1,WAS,35,DAL,41,-6,Home,2.5,Norv Turner,Chan Gailey
1999_01_KC_CHI,1999,1,KC,17,CHI,20,-3,Away,3,Gunther Cunningham,Dick Jauron
1999_01_KC_CHI,1999,1,CHI,20,KC,17,3,Home,-3,Dick Jauron,Gunther Cunningham
1999_01_NE_NYJ,1999,1,NE,30,NYJ,28,2,Away,-7,Pete Carroll,Bill Parcells
1999_01_NE_NYJ,1999,1,NYJ,28,NE,30,-2,Home,7,Bill Parcells,Pete Carroll
1999_01_OAK_GB,1999,1,LV,24,GB,28,-4,Away,-9,Jon Gruden,Ray Rhodes
1999_01_OAK_GB,1999,1,GB,28,LV,24,4,Home,9,Ray Rhodes,Jon Gruden
1999_01_DET_SEA,1999,1,DET,28,SEA,20,8,Away,-9.5,Bobby Ross,Mike Holmgren
1999_01_DET_SEA,1999,1,SEA,20,DET,28,-8,Home,9.5,Mike Holmgren,Bobby Ross
1999_01_MIN_ATL,1999,1,MIN,17,ATL,14,3,Away,4,Dennis Green,Dan Reeves
1999_01_MIN_ATL,1999,1,ATL,14,MIN,17,-3,Home,-4,Dan Reeves,Dennis Green
